index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
238,CdS4,2016,M,LS,9.75,63,60,26,25,2017-02-23,yes
239,CdS4,2016,M,TC,1.5,12,12,23,0,0000-00-00,no
240,CdS4,2012,M,LC,13.0,39,36,23,22,2013-02-07,yes
241,CdS3,2012,F,LC,3.0,12,12,30,0,0000-00-00,no
242,CdS3,2012,F,IT,8.0,33,33,26,19,2014-09-17,yes
243,CdS3,2015,M,LS,9.0,6,6,27,0,0000-00-00,no
244,CdS4,2015,M,IT,14.0,36,36,23,0,0000-00-00,no
245,CdS3,2016,M,LS,11.5,30,27,27,0,0000-00-00,no
246,CdS3,2010,F,LS,11.0,12,12,27,0,0000-00-00,no
247,CdS3,2010,M,LC,9.0,12,12,25,22,2014-07-10,yes
248,CdS4,2011,M,LC,9.0,24,24,25,24,2015-06-18,yes
249,CdS3,2016,M,IP,1.75,9,6,26,0,0000-00-00,no
250,CdS4,2015,M,LS,21.0,51,48,24,20,2016-07-11,yes
251,CdS4,2013,M,IT,13.0,48,48,23,23,2014-02-27,yes
252,CdS4,2015,F,IA,11.0,3,0,0,0,0000-00-00,no
253,CdS3,2015,M,LL,11.0,36,33,24,21,2016-06-14,yes
254,CdS4,2015,M,LS,15.0,39,36,26,30,2016-07-11,yes
255,CdS4,2013,F,LS,22.0,51,48,28,26,2014-02-06,yes
256,CdS3,2010,M,LS,6.0,6,6,27,0,0000-00-00,no
257,CdS4,2012,M,IT,12.0,3,0,0,0,0000-00-00,no
258,CdS3,2013,F,LS,18.0,36,33,30,26,2016-06-29,yes
259,CdS3,2016,F,LS,9.25,3,0,0,0,0000-00-00,no
260,CdS4,2013,M,IT,11.0,39,36,26,28,2014-02-27,yes
261,CdS3,2015,M,TC,7.0,12,12,22,22,2016-06-14,yes
262,CdS4,2010,M,IP,16.0,48,45,27,21,2014-02-06,yes
263,CdS4,2012,M,IT,16.0,36,36,24,24,2014-09-17,yes
264,CdS4,2011,F,TC,4.0,15,12,27,24,2016-01-19,yes
265,CdS4,2011,M,LS,15.0,27,24,27,23,2015-01-15,yes
266,CdS4,2011,F,TC,14.0,27,24,24,19,2012-02-10,yes
267,CdS3,2016,F,IP,0.75,9,6,18,0,0000-00-00,no
268,CdS4,2013,F,LS,12.0,12,12,26,0,0000-00-00,no
269,CdS4,2012,M,IT,10.0,39,36,24,21,2017-01-19,yes
270,CdS3,2011,M,TC,10.0,15,12,23,18,2014-09-17,yes
271,CdS3,2016,M,IT,4.0,6,6,28,0,0000-00-00,no
272,CdS3,2016,F,LC,1.25,9,6,31,0,0000-00-00,no
273,CdS3,2016,M,IA,4.25,6,6,28,0,0000-00-00,no
274,CdS3,2010,F,IA,14.0,20,18,26,19,2012-01-18,yes
275,CdS4,2016,F,LS,7.75,39,36,25,0,0000-00-00,no
276,CdS3,2014,M,LS,22.0,27,27,23,0,0000-00-00,no
277,CdS3,2012,M,IT,13.0,33,33,27,21,2014-09-17,yes
278,CdS4,2015,M,LS,23.0,63,60,29,30,2016-01-19,yes
279,CdS3,2015,F,LS,16.0,51,48,28,30,2016-06-14,yes
280,CdS3,2014,M,LS,19.0,24,24,21,20,2015-07-23,yes
281,CdS4,2014,M,TC,7.0,15,12,22,0,0000-00-00,no
282,CdS3,2016,F,LC,4.25,42,42,24,21,2017-09-13,yes
283,CdS4,2013,F,IT,15.0,39,36,22,19,2014-02-06,yes
284,CdS4,2012,M,IT,11.0,36,36,23,18,2013-02-07,yes
285,CdS4,2013,M,IT,12.0,51,48,22,18,2014-02-06,yes
286,CdS4,2012,F,LS,7.0,15,12,28,18,2015-09-17,yes
287,CdS3,2012,F,LS,17.0,36,33,29,28,2014-07-10,yes
288,CdS3,2013,M,LC,15.0,33,33,25,28,2014-09-17,yes
289,CdS3,2014,M,LC,17.0,51,48,27,20,2015-02-10,yes
290,CdS4,2010,F,LC,16.0,60,57,26,25,2011-03-04,yes
